pair,total_ibd_mb,sample_a,sample_b
"('NA19312_NA19312', 'NA19375_NA19375')",57.16957299999999,NA19312_NA19312,NA19375_NA19375
"('NA19328_NA19328', 'NA19446_NA19446')",57.091818999999994,NA19328_NA19328,NA19446_NA19446
"('NA19380_NA19380', 'NA19443_NA19443')",57.004896,NA19380_NA19380,NA19443_NA19443
"('NA19327_NA19327', 'NA19396_NA19396')",56.940342,NA19327_NA19327,NA19396_NA19396
"('NA19316_NA19316', 'NA19468_NA19468')",56.925816000000005,NA19316_NA19316,NA19468_NA19468
"('NA19377_NA19377', 'NA19452_NA19452')",56.92065,NA19377_NA19377,NA19452_NA19452
"('NA19318_NA19318', 'NA19346_NA19346')",56.746363,NA19318_NA19318,NA19346_NA19346
"('NA19453_NA19453', 'NA19455_NA19455')",56.511101000000004,NA19453_NA19453,NA19455_NA19455
"('NA19379_NA19379', 'NA19431_NA19431')",56.465889,NA19379_NA19379,NA19431_NA19431
"('NA19327_NA19327', 'NA19474_NA19474')",56.277348,NA19327_NA19327,NA19474_NA19474
"('NA19391_NA19391', 'NA19397_NA19397')",56.152531,NA19391_NA19391,NA19397_NA19397
"('NA19310_NA19310', 'NA19372_NA19372')",56.084753,NA19310_NA19310,NA19372_NA19372
"('NA19347_NA19347', 'NA19430_NA19430')",55.871345000000005,NA19347_NA19347,NA19430_NA19430
"('NA19327_NA19327', 'NA19382_NA19382')",55.796186000000006,NA19327_NA19327,NA19382_NA19382
"('NA19404_NA19404', 'NA19446_NA19446')",55.754263,NA19404_NA19404,NA19446_NA19446
"('NA19038_NA19038', 'NA19351_NA19351')",55.694667,NA19038_NA19038,NA19351_NA19351
"('NA19383_NA19383', 'NA19455_NA19455')",55.630297999999996,NA19383_NA19383,NA19455_NA19455
"('NA19308_NA19308', 'NA19439_NA19439')",55.592771,NA19308_NA19308,NA19439_NA19439
"('NA19334_NA19334', 'NA19371_NA19371')",55.531442999999996,NA19334_NA19334,NA19371_NA19371
"('NA19390_NA19390', 'NA19448_NA19448')",55.388865,NA19390_NA19390,NA19448_NA19448
"('NA19309_NA19309', 'NA19461_NA19461')",55.382066,NA19309_NA19309,NA19461_NA19461
"('NA19319_NA19319', 'NA19346_NA19346')",55.377708,NA19319_NA19319,NA19346_NA19346
"('NA19309_NA19309', 'NA19436_NA19436')",55.309325,NA19309_NA19309,NA19436_NA19436
"('NA19382_NA19382', 'NA19434_NA19434')",55.268656,NA19382_NA19382,NA19434_NA19434
"('NA19397_NA19397', 'NA19398_NA19398')",55.167306,NA19397_NA19397,NA19398_NA19398
"('NA19440_NA19440', 'NA19446_NA19446')",55.015377,NA19440_NA19440,NA19446_NA19446
"('NA19346_NA19346', 'NA19375_NA19375')",54.879764,NA19346_NA19346,NA19375_NA19375
"('NA19351_NA19351', 'NA19398_NA19398')",54.783868,NA19351_NA19351,NA19398_NA19398
"('NA19379_NA19379', 'NA19469_NA19469')",54.777667,NA19379_NA19379,NA19469_NA19469
"('NA19332_NA19332', 'NA19398_NA19398')",54.710927000000005,NA19332_NA19332,NA19398_NA19398
"('NA19044_NA19044', 'NA19471_NA19471')",54.694894,NA19044_NA19044,NA19471_NA19471
