pair,total_ibd_mb,sample_a,sample_b,pi_hat
"('NA19430', 'NA19473')",182.505695,NA19430,NA19473,0.0570330296875
"('NA19391', 'NA19453')",182.468382,NA19391,NA19453,0.057021369375
"('NA19313', 'NA19437')",182.350921,NA19313,NA19437,0.0569846628125
"('NA19377', 'NA19380')",182.309526,NA19377,NA19380,0.056971726875
"('NA19332', 'NA19395')",182.301513,NA19332,NA19395,0.0569692228125
"('NA19466', 'NA19471')",182.265243,NA19466,NA19471,0.0569578884375
"('NA19308', 'NA19461')",182.145418,NA19308,NA19461,0.056920443125000005
"('NA19028', 'NA19374')",182.033381,NA19028,NA19374,0.0568854315625
"('NA19308', 'NA19383')",181.9743,NA19308,NA19383,0.056866968749999997
"('NA19466', 'NA19474')",181.843235,NA19466,NA19474,0.0568260109375
"('NA19431', 'NA19446')",181.73158,NA19431,NA19446,0.05679111875
"('NA19046', 'NA19449')",181.654066,NA19046,NA19449,0.056766895625
"('NA19397', 'NA19456')",181.651147,NA19397,NA19456,0.0567659834375
"('NA19391', 'NA19434')",181.61069,NA19391,NA19434,0.056753340625
"('NA19382', 'NA19449')",181.412453,NA19382,NA19449,0.0566913915625
"('NA19324', 'NA19347')",181.368685,NA19324,NA19347,0.0566777140625
"('NA19430', 'NA19446')",181.368631,NA19430,NA19446,0.0566776971875
"('NA19327', 'NA19446')",181.254545,NA19327,NA19446,0.0566420453125
"('NA19352', 'NA19398')",181.126895,NA19352,NA19398,0.056602154687499996
"('NA19375', 'NA19474')",181.096428,NA19375,NA19474,0.05659263375
"('NA19308', 'NA19313')",181.012324,NA19308,NA19313,0.05656635125
"('NA19038', 'NA19395')",180.991536,NA19038,NA19395,0.056559855
"('NA19020', 'NA19435')",180.984226,NA19020,NA19435,0.056557570625000005
"('NA19383', 'NA19434')",180.893854,NA19383,NA19434,0.056529329375
"('NA19350', 'NA19429')",180.760345,NA19350,NA19429,0.0564876078125
"('NA19334', 'NA19448')",180.72425,NA19334,NA19448,0.056476328125
"('NA19347', 'NA19430')",180.620795,NA19347,NA19430,0.0564439984375
"('NA19020', 'NA19461')",180.601993,NA19020,NA19461,0.0564381228125
"('NA19311', 'NA19474')",180.573547,NA19311,NA19474,0.0564292334375
"('NA19310', 'NA19382')",180.559789,NA19310,NA19382,0.0564249340625
"('NA19352', 'NA19376')",180.512079,NA19352,NA19376,0.0564100246875
"('NA19391', 'NA19446')",180.465295,NA19391,NA19446,0.0563954046875
"('NA19435', 'NA19455')",180.434953,NA19435,NA19455,0.0563859228125
"('NA19324', 'NA19380')",180.432144,NA19324,NA19380,0.056385044999999995
"('NA19038', 'NA19436')",180.369417,NA19038,NA19436,0.0563654428125
"('NA19355', 'NA19374')",180.27525500000002,NA19355,NA19374,0.056336017187500004
"('NA19041', 'NA19462')",180.20874700000002,NA19041,NA19462,0.05631523343750001
"('NA19436', 'NA19472')",180.089925,NA19436,NA19472,0.056278101562499995
"('NA19352', 'NA19456')",180.065252,NA19352,NA19456,0.056270391249999996
"('NA19313', 'NA19403')",179.96442000000002,NA19313,NA19403,0.056238881250000004
"('NA19308', 'NA19327')",179.90603,NA19308,NA19327,0.056220634374999995
"('NA19308', 'NA19346')",179.881,NA19308,NA19346,0.0562128125
"('NA19371', 'NA19468')",179.846808,NA19371,NA19468,0.056202127500000004
"('NA19334', 'NA19397')",179.845927,NA19334,NA19397,0.0562018521875
"('NA19046', 'NA19462')",179.817871,NA19046,NA19462,0.0561930846875
"('NA19046', 'NA19452')",179.640024,NA19046,NA19452,0.0561375075
"('NA19041', 'NA19308')",179.572148,NA19041,NA19308,0.05611629625
"('NA19308', 'NA19393')",179.516089,NA19308,NA19393,0.0560987778125
"('NA19346', 'NA19466')",179.452746,NA19346,NA19466,0.056078983124999995
"('NA19429', 'NA19430')",179.294719,NA19429,NA19430,0.056029599687499994
"('NA19377', 'NA19395')",179.279064,NA19377,NA19395,0.0560247075
"('NA19449', 'NA19467')",179.266203,NA19449,NA19467,0.056020688437499994
"('NA19307', 'NA19463')",179.177568,NA19307,NA19463,0.05599299
"('NA19346', 'NA19377')",179.156601,NA19346,NA19377,0.0559864378125
"('NA19038', 'NA19346')",179.153186,NA19038,NA19346,0.055985370625
"('NA19332', 'NA19461')",178.97198,NA19332,NA19461,0.05592874375
"('NA19020', 'NA19046')",178.964142,NA19020,NA19046,0.055926294375000005
"('NA19319', 'NA19457')",178.870467,NA19319,NA19457,0.0558970209375
"('NA19338', 'NA19382')",178.827662,NA19338,NA19382,0.055883644375
"('NA19352', 'NA19391')",178.721854,NA19352,NA19391,0.055850579375
"('NA19435', 'NA19466')",178.683936,NA19435,NA19466,0.055838729999999996
"('NA19327', 'NA19437')",178.683659,NA19327,NA19437,0.0558386434375
"('NA19391', 'NA19428')",178.57724,NA19391,NA19428,0.0558053875
"('NA19399', 'NA19446')",178.558597,NA19399,NA19446,0.055799561562499995
"('NA19307', 'NA19321')",178.538089,NA19307,NA19321,0.0557931528125
"('NA19359', 'NA19431')",178.527402,NA19359,NA19431,0.055789813125
"('NA19312', 'NA19461')",178.521544,NA19312,NA19461,0.0557879825
"('NA19384', 'NA19431')",178.403007,NA19384,NA19431,0.0557509396875
"('NA19334', 'NA19429')",178.370955,NA19334,NA19429,0.055740923437500006
"('NA19359', 'NA19375')",178.35393,NA19359,NA19375,0.055735603125
"('NA19044', 'NA19390')",178.309229,NA19044,NA19390,0.0557216340625
"('NA19308', 'NA19474')",178.307112,NA19308,NA19474,0.05572097249999999
"('NA19397', 'NA19430')",178.285121,NA19397,NA19430,0.0557141003125
"('NA19332', 'NA19429')",178.233577,NA19332,NA19429,0.0556979928125
"('NA19036', 'NA19446')",178.216454,NA19036,NA19446,0.055692641875
"('NA19041', 'NA19374')",178.210235,NA19041,NA19374,0.055690698437500005
"('NA19448', 'NA19451')",178.062886,NA19448,NA19451,0.055644651875
"('NA19382', 'NA19397')",178.054425,NA19382,NA19397,0.055642007812500005
"('NA19038', 'NA19041')",178.042001,NA19038,NA19041,0.0556381253125
"('NA19328', 'NA19474')",178.02347,NA19328,NA19474,0.055632334375
"('NA19397', 'NA19453')",177.942068,NA19397,NA19453,0.05560689625
"('NA19338', 'NA19390')",177.887766,NA19338,NA19390,0.055589926875
"('NA19350', 'NA19467')",177.883902,NA19350,NA19467,0.055588719375000005
"('NA19350', 'NA19383')",177.855861,NA19350,NA19383,0.055579956562500005
"('NA19338', 'NA19468')",177.845277,NA19338,NA19468,0.055576649062500004
"('NA19315', 'NA19446')",177.75561100000002,NA19315,NA19446,0.055548628437500004
"('NA19434', 'NA19468')",177.651901,NA19434,NA19468,0.055516219062500004
"('NA19391', 'NA19404')",177.629529,NA19391,NA19404,0.0555092278125
"('NA19374', 'NA19429')",177.586616,NA19374,NA19429,0.055495817499999996
"('NA19394', 'NA19431')",177.529166,NA19394,NA19431,0.055477864375
"('NA19374', 'NA19444')",177.506125,NA19374,NA19444,0.0554706640625
"('NA19462', 'NA19463')",177.505189,NA19462,NA19463,0.0554703715625
"('NA19317', 'NA19466')",177.480865,NA19317,NA19466,0.0554627703125
"('NA19332', 'NA19440')",177.457264,NA19332,NA19440,0.055455395000000005
"('NA19044', 'NA19430')",177.438494,NA19044,NA19430,0.055449529375
"('NA19380', 'NA19404')",177.406733,NA19380,NA19404,0.0554396040625
"('NA19395', 'NA19461')",177.38091599999998,NA19395,NA19461,0.055431536249999996
"('NA19380', 'NA19437')",177.339808,NA19380,NA19437,0.05541869
"('NA19312', 'NA19316')",177.261704,NA19312,NA19316,0.0553942825
"('NA19309', 'NA19436')",177.229505,NA19309,NA19436,0.055384220312499996
"('NA19338', 'NA19428')",177.211883,NA19338,NA19428,0.0553787134375
"('NA19307', 'NA19466')",177.202595,NA19307,NA19466,0.0553758109375
"('NA19036', 'NA19395')",177.04323499999998,NA19036,NA19395,0.055326010937499996
"('NA19328', 'NA19391')",177.027521,NA19328,NA19391,0.0553211003125
"('NA19334', 'NA19449')",176.970261,NA19334,NA19449,0.0553032065625
"('NA19379', 'NA19474')",176.957055,NA19379,NA19474,0.0552990796875
"('NA19038', 'NA19403')",176.877258,NA19038,NA19403,0.055274143125
"('NA19046', 'NA19430')",176.781007,NA19046,NA19430,0.0552440646875
"('NA19347', 'NA19382')",176.663988,NA19347,NA19382,0.055207496249999995
"('NA19041', 'NA19332')",176.658336,NA19041,NA19332,0.055205729999999995
"('NA19044', 'NA19437')",176.649754,NA19044,NA19437,0.055203048125
