ID1,ID2,PLINK_PIHAT,GERMLINE_IBD,BEAGLE_PIHAT
NA19036,NA19382,0.0423,0.000937979705882353,0.007154624375000001
NA19036,NA19383,0.0477,0.003681515882352941,0.0075247303125
NA19036,NA19384,0.0447,0.0024516520588235297,0.008217540625
NA19036,NA19385,0.0387,0.008570170882352941,0.0049875446875
NA19036,NA19390,0.0417,0.0,0.0029821896874999997
NA19036,NA19391,0.044,0.0,0.005240779062499999
NA19036,NA19393,0.0482,0.009869083529411765,0.0076607415625
NA19036,NA19394,0.0424,0.007515399117647059,0.005452075
NA19036,NA19395,0.0442,0.009034765294117647,0.006811181875000001
NA19036,NA19396,0.0521,0.008463219999999999,0.00414883
NA19036,NA19397,0.044,0.0018637441176470588,0.006991131875
NA19036,NA19398,0.0427,0.0010163717647058825,0.004685421875
NA19036,NA19399,0.0468,0.0,0.007976445625
NA19036,NA19401,0.0475,0.0018484167647058822,0.0082866434375
NA19036,NA19403,0.0431,0.009785142647058825,0.0044020984375
NA19036,NA19404,0.0442,0.007643391176470588,0.0054160640625
NA19036,NA19428,0.0481,0.00886758882352941,0.010315955937500001
NA19036,NA19429,0.0471,0.008803036470588235,0.016331018750000002
NA19036,NA19430,0.0491,0.007862196176470588,0.00752556875
NA19036,NA19431,0.0423,0.00869658,0.00752131375
NA19036,NA19434,0.0429,0.004704359411764706,0.00223244875
NA19036,NA19435,0.0419,0.0,0.0045810621875
NA19036,NA19436,0.0551,0.0077665405882352935,0.005759097187499999
NA19036,NA19437,0.0352,0.0009365220588235295,0.0062753575
NA19036,NA19438,0.0391,0.007775176764705882,0.0026961971875000003
NA19036,NA19439,0.0404,0.008097649705882353,0.0048673609375
NA19036,NA19440,0.0424,0.003256702941176471,0.0085202259375
NA19036,NA19443,0.0428,0.0009263423529411764,0.00720915125
NA19036,NA19444,0.0462,0.0,0.0038413171875000002
NA19036,NA19445,0.0432,0.0009680435294117648,0.00422203625
NA19036,NA19446,0.0489,0.0077665405882352935,0.0081294325
NA19036,NA19448,0.0383,0.007870832352941176,0.0098480353125
NA19036,NA19449,0.0496,0.008578783529411766,0.005703261562500001
NA19036,NA19451,0.0423,0.0009042517647058824,0.004114613125
NA19036,NA19452,0.0443,0.0016185014705882353,0.0118053509375
NA19036,NA19453,0.0432,0.0022512914705882354,0.007432665625
NA19036,NA19455,0.0436,0.0012641941176470587,0.003171433125
NA19036,NA19456,0.0444,0.0008973655882352941,0.006374271875
NA19036,NA19457,0.0422,0.0030687282352941177,0.0038697221875
NA19036,NA19461,0.0416,0.008556762941176469,0.0046695128125
NA19036,NA19462,0.0431,0.0030422126470588235,0.0078529578125
NA19036,NA19463,0.0481,0.011027139705882353,0.0108453178125
NA19036,NA19466,0.0439,0.009104453529411765,0.00663661625
NA19036,NA19467,0.0363,0.00838973205882353,0.0052520728125
NA19036,NA19468,0.0428,0.0012641941176470587,0.005251129375
NA19036,NA19469,0.0435,0.0010221388235294117,0.0034619878124999997
NA19036,NA19470,0.0375,0.0009263423529411764,0.0031626409375
NA19036,NA19471,0.0379,0.0074172176470588234,0.005254428437500001
NA19036,NA19472,0.0393,0.009006973235294117,0.006792425624999999
NA19036,NA19473,0.0441,0.0024054400000000004,0.006304385312500001
NA19036,NA19474,0.042,0.000905679705882353,0.0041259459375
NA19038,NA19041,0.0418,0.01141259794117647,0.004319125
NA19038,NA19044,0.0429,0.008758097647058824,0.005134303125000001
NA19038,NA19046,0.0448,0.0023672811764705883,0.0076904225
NA19038,NA19307,0.0422,0.0014738494117647058,0.007518972499999999
NA19038,NA19308,0.0425,0.011240342647058824,0.0074179809375
NA19038,NA19309,0.0473,0.0009553526470588235,0.006223596875
NA19038,NA19310,0.0453,0.01059111588235294,0.005170705
NA19038,NA19311,0.0413,0.008093568823529412,0.009910095625
NA19038,NA19312,0.0454,0.012377847058823528,0.007908290625
NA19038,NA19313,0.0471,0.009857040588235293,0.0063730456250000005
NA19038,NA19315,0.0415,0.0,0.0046687128125
NA19038,NA19316,0.0443,0.008451041176470588,0.008158995625
NA19038,NA19317,0.0462,0.009182019705882352,0.0073730340625000005
NA19038,NA19318,0.0431,0.002026265588235294,0.0038007390625
NA19038,NA19319,0.0479,0.001604184411764706,0.010437015000000001
NA19038,NA19321,0.0428,0.008539391176470588,0.018496454062499997
NA19038,NA19324,0.0443,0.0013787258823529413,0.010129697500000001
NA19038,NA19327,0.0359,0.011280306176470587,0.0035641181249999997
NA19038,NA19328,0.05,0.010297402647058824,0.00338617375
NA19038,NA19331,0.0454,0.009188380588235295,0.006146731250000001
NA19038,NA19332,0.0387,0.001268874411764706,0.00565031
NA19038,NA19334,0.04,0.009188380588235295,0.006145700937500001
NA19038,NA19338,0.0436,0.01051506294117647,0.003632221875
NA19038,NA19346,0.042,0.009321672647058825,0.008502791562499999
NA19038,NA19347,0.0466,0.008990314117647058,0.00944012625
NA19038,NA19350,0.0438,0.008979854411764706,0.0076137275
NA19038,NA19351,0.0495,0.010840751176470587,0.0174045834375
NA19038,NA19352,0.0465,0.008062790588235294,0.011248127187500002
NA19038,NA19355,0.0464,0.008385261176470588,0.0071784034375000005
NA19038,NA19359,0.0461,0.00984045794117647,0.00567606875
NA19038,NA19360,0.0506,0.007745462647058823,0.0144770175
NA19038,NA19371,0.0527,0.010262299411764706,0.0064022178124999995
NA19038,NA19372,0.0458,0.0017517211764705883,0.008216689687499999
NA19038,NA19373,0.0425,0.002314570588235294,0.00767467125
NA19038,NA19374,0.0402,0.008738235294117647,0.0044730196875
NA19038,NA19375,0.0431,0.010420497941176471,0.0065871246875
NA19038,NA19376,0.0501,0.0020315711764705884,0.004254671875
NA19038,NA19377,0.0425,0.010433160294117647,0.0060233465625
NA19038,NA19379,0.0393,0.009199208529411765,0.0032401453125
NA19038,NA19380,0.0454,0.0035455473529411763,0.004836830625
NA19038,NA19381,0.0497,0.009899182647058823,0.0046338996875
NA19038,NA19382,0.0461,0.010308616176470588,0.004489361874999999
NA19038,NA19383,0.0475,0.002588989411764706,0.0097679275
NA19038,NA19384,0.0473,0.009137546764705884,0.0080835628125
NA19038,NA19385,0.0388,0.009270837352941177,0.0027411553124999997
NA19038,NA19390,0.04,0.009876393823529412,0.0058232365625
NA19038,NA19391,0.0457,0.00788996294117647,0.0055173059375
NA19038,NA19393,0.0431,0.007399397647058824,0.0070320003125
NA19038,NA19394,0.0493,0.0030596776470588234,0.012341548124999999
NA19038,NA19395,0.0415,0.010330535588235294,0.00696981125
NA19038,NA19396,0.0506,0.002590220294117647,0.0039368196875
NA19038,NA19397,0.0489,0.009161861176470588,0.0092987690625
NA19038,NA19398,0.0456,0.0013241126470588235,0.0068225740625
NA19038,NA19399,0.0554,0.007471863823529413,0.013678605937500001
NA19038,NA19401,0.0427,0.0,0.00450274625
NA19038,NA19403,0.0367,0.007860791176470589,0.0133484090625
NA19038,NA19404,0.0455,0.008029434411764706,0.0078835025
NA19038,NA19428,0.0493,0.00923902,0.00287676
NA19038,NA19429,0.0556,0.0013262188235294119,0.029015095312500003
